,Products,depths,Solved
437,CCCOc1ccccc1Oc1ccccc1Br,11.0,False
657,Fc1cc(F)cc(Oc2ccccc2Br)c1,2.0,True
439,CCOc1ccccc1COc1c(Br)cccc1OC,11.0,False
5939,FC(F)(F)c1ccc(COc2ccccc2Br)c(Cl)c1,2.0,True
2220,Nc1c(Br)ccc2ccccc12,2.0,True
442,COc1ccc(OC(C)C)cc1Cl,11.0,False
443,FC(F)COc1ccc(Oc2ccccc2Br)cc1,11.0,False
444,CS(=O)(=O)Oc1ccc(Cc2cnccc2I)cc1,11.0,False
445,COCC1(COc2ccccc2I)CCCCC1,11.0,False
446,FC(F)Oc1c(I)cccc1C(F)(F)F,1.0,True
447,CC(C)(C)c1cc(Oc2ccccc2I)ccc1F,11.0,False
1215,CC1(COc2ccccc2Br)CCCc2ccccc21,4.0,True
449,CCCOc1cccc(Oc2ccccc2I)c1,11.0,False
450,CCCCOc1cccc(Cl)c1-c1ccccc1,11.0,False
451,Fc1ccc(C(F)(F)F)c(I)c1,11.0,False
452,CC(=O)c1ccccc1Oc1cc(F)ccc1I,11.0,False
453,COc1cc(F)c(COc2ccccc2Br)cc1F,11.0,False
454,Oc1ccccc1COc1ccccc1Br,11.0,False
455,CC(C)(C)Oc1ccccc1Oc1ccccc1Br,11.0,False
4898,COc1ccc(Oc2ccccc2Br)cc1,5.0,True
457,COc1c(C)cc(F)cc1Br,1.0,True
