,Products,depths,Solved
207,Clc1ccc2nccc(Cl)c2c1,0.0,True
208,Nc1cccc2c(Cl)c(Br)ccc12,1.0,True
209,Fc1ccc(Oc2ccccc2Br)cc1,0.0,True
210,FOc1ccccc1Cl,11.0,False
211,COc1cc(Br)ccc1Oc1ccccc1I,1.0,True
5216,Cc1cccc(Oc2ccccc2Cl)c1,0.0,True
213,Cc1ccc(C)c(I)c1,0.0,True
214,Cc1ccnc(I)c1F,0.0,True
215,Oc1cc(OC(F)(F)F)ccc1I,0.0,True
2173,FC(F)(F)c1c(Cl)cc(Cl)cc1Cl,0.0,True
217,FC(F)(F)C(F)(F)c1ccc(Oc2ccccc2I)cc1,1.0,True
906,Fc1ccc(Br)c(OCC(F)(F)F)c1,0.0,True
219,FC(F)(F)c1ccc(OCc2cccnc2)c(Cl)c1,1.0,True
220,FC(F)(F)COc1ccc(C(F)(F)F)cc1I,0.0,True
222,Cc1ccccc1COc1cccc(Br)c1Cl,1.0,True
420,Clc1cc(Cl)c2nccc(Cl)c2c1,0.0,True
224,CCC1(COc2ccccc2I)CCCC1,1.0,True
225,Oc1cc(F)ccc1Br,0.0,True
226,Fc1ccc(F)c(Oc2ccccc2Br)c1,1.0,True
5089,FC(F)COc1c(Cl)cc(OC(F)F)cc1Cl,1.0,True
228,Cc1ccc(Oc2ccccc2Cl)c(F)c1,1.0,True
229,CCCC1(COc2ccc(F)cc2I)CCCCC1,1.0,True
230,FC(F)(F)COc1cnccc1Br,0.0,True
231,FC(F)(F)c1cncc(Cl)c1Br,0.0,True
232,COc1cccc(I)c1OCCC(F)(F)F,1.0,True
233,Clc1ccccc1OCc1ccc(Br)cc1,0.0,True
234,CCCCOc1c(Cl)cccc1COc1ccccc1Br,2.0,True
235,CCCCOc1ccccc1CCCOc1ccccc1Cl,2.0,True
236,CCc1c(Cl)cncc1Br,1.0,True
238,COc1ccc(Br)c(Cl)c1,0.0,True
240,Fc1cccc(Br)c1,0.0,True
241,FCOc1ccc(OC(F)F)c(Cl)c1,1.0,True
243,Clc1cccc2cc[nH]c12,0.0,True
245,Cc1ccc(C(C)(C)C)c(Oc2ccccc2I)c1C,2.0,True
3040,COc1ccc(OC(C)C)c(Br)c1,0.0,True
247,Brc1cccc2c(-c3ccccc3)cccc12,1.0,True
248,Oc1cccc2cccc(I)c12,0.0,True
249,CCC(F)(F)COc1ccccc1Br,1.0,True
250,FC(F)(F)COc1c(Cl)cccc1C(F)(F)F,1.0,True
251,CC(=O)c1ccccc1-c1ccc(F)c(Br)c1,1.0,True
252,FC(F)(F)Oc1ccc2cccc(I)c2c1,0.0,True
253,Fc1ccc2c(I)cccc2c1,0.0,True
254,FC(F)C(F)(F)Oc1cc(OC(F)(F)F)ccc1Cl,1.0,True
255,CCOc1cccc(I)c1,0.0,True
256,Fc1cccc(COc2ccc(F)c(I)c2)c1,1.0,True
980,CC(C)Oc1ccc(Cl)c(O)c1,0.0,True
258,COc1cccc(Cl)c1Br,0.0,True
259,FC(F)Oc1cccc(Br)c1OCCCC(F)(F)F,1.0,True
260,CC(C)Oc1ccc(Cl)cc1I,0.0,True
261,FC(F)COc1c(Cl)ccc2ccccc12,1.0,True
262,CCCOc1ccc(OCC)cc1Oc1ccccc1Cl,2.0,True
263,FCCOc1cccc(Br)c1Cl,1.0,True
264,FC(F)(F)c1cc(Oc2ccccc2Cl)ccc1Cl,1.0,True
316,COc1ccc(OC(F)F)c(Cl)c1,0.0,True
266,COc1cccc(Br)c1OCc1ccccc1OCC(F)(F)F,1.0,True
2143,O=[N+]([O-])c1ccccc1Oc1ccccc1I,0.0,True
268,CC(C)Oc1c(I)cccc1C(C)C,1.0,True
269,FCC(F)(F)COc1ccccc1I,1.0,True
270,CC(C)c1ccccc1Oc1ccccc1Cl,1.0,True
271,COc1ccc(C)c(COc2ccccc2Br)c1,1.0,True
272,Fc1cc(F)cc(Oc2ccccc2Cl)c1,1.0,True
273,FC(F)(F)c1ccc(Br)c(Br)c1,0.0,True
274,Cc1ccc(Oc2ccccc2)c(Br)c1,0.0,True
275,COc1c(Cl)ccc2c(N)cccc12,1.0,True
276,COc1ccc(CCCCOc2ccccc2Cl)cc1OC,1.0,True
277,COc1ccc(Cl)c(OC)c1OCCCF,1.0,True
279,Fc1ccc(OCc2ccccc2OCC(F)(F)F)c(I)c1,1.0,True
280,Cc1cc(Cl)c(F)cc1OC(F)(F)F,0.0,True
281,Cc1ccc(F)c(Cl)c1Oc1ccccc1Cl,1.0,True
282,Cc1ccc(C(C)C)c(Oc2ccccc2I)c1C,2.0,True
283,Clc1cccc(I)c1Br,0.0,True
284,COc1cccc(I)c1OC,0.0,True
285,Cc1ccc(Oc2ccc(C)c(CCOc3ccccc3I)c2)cc1Cl,2.0,True
286,Cc1c([O-])cccc1Br,11.0,False
287,CCOc1c(Br)cccc1OCC1CCC1,1.0,True
289,CCCCOc1c(Br)cccc1I,1.0,True
290,Oc1cccnc1Br,0.0,True
291,COc1ccc2cc(Br)c(F)cc2c1,1.0,True
292,Clc1nc2ccccc2cc1Br,0.0,True
293,FCCOc1c(Cl)ccc2ccccc12,1.0,True
294,CC(=O)c1ccccc1Oc1cc(F)ccc1I,1.0,True
295,FC(F)(F)c1cccnc1Cl,0.0,True
3164,FC(F)COc1c(Br)cccc1OCCC(F)(F)F,1.0,True
298,COc1cc(OCC(C)(C)C)ccc1I,1.0,True
299,COc1cccc(Br)c1Oc1ccccc1I,1.0,True
300,CCCCOc1ccc(Oc2ccccc2Cl)cc1,1.0,True
301,CCc1cccc(Cl)c1OC,0.0,True
303,COc1ccccc1-c1c(Cl)cccc1C(F)(F)F,1.0,True
3780,Clc1cccc(OCc2ccccc2Br)c1,0.0,True
306,CCc1c(C)cncc1I,1.0,True
307,FC(F)(F)c1c(Oc2ccccc2Br)ccc(Cl)c1Cl,1.0,True
308,CCOc1ccc(F)cc1Cl,0.0,True
5311,CCOc1c(Br)ccc2ccccc12,0.0,True
311,COc1cccc(Oc2ccc(F)c(Cl)c2)c1,1.0,True
312,Cc1c(Cl)cccc1OCC(C)C,1.0,True
313,CC(C)c1cccc(C(C)(C)C)c1Oc1ccccc1Br,2.0,True
1100,Cc1cccc(CCCOc2cccc(Br)c2OCC(F)(F)F)c1,1.0,True
619,CCOc1ccc(COc2ccccc2)cc1Br,1.0,True
317,COc1c(Br)cccc1Nc1ccccc1C(F)(F)F,1.0,True
